ID,Age,Gender,Marital_Status,Job_Role,Experience_Years,Monthly_Salary_INR,Working_Hours_per_Week,Commute_Time_Hours,Stress_Level,Health_Issues,Company_Size,Department,Sleep_Hours,Physical_Activity_Hours_per_Week,Manager_Support_Level,Work_Pressure_Level,Annual_Leaves_Taken,Work_Life_Balance,Family_Support_Level,Job_Satisfaction,Performance_Rating,Team_Size,Burnout_Symptoms,Location
5013,32,2,1,1,17,143235.03,62,2.08,0,2,2,0,7.3,4.5,4,0,3,2,3,4,7,75,1,2
48382,33,1,2,2,1,105998.85,62,1.27,0,3,2,2,7.9,3.8,3,9,19,3,4,5,10,8,2,2
45331,61,0,2,4,11,128550.6,42,2.36,0,2,2,4,7.4,5.1,10,5,29,1,5,6,0,85,1,2
7962,22,0,1,1,40,80459.44,65,1.54,0,3,2,1,4.1,9.1,2,8,12,0,8,8,4,25,2,3
2400,23,1,0,1,3,25016.76,43,2.02,0,0,2,4,4.2,0.6,4,1,10,3,1,9,10,14,1,2
43018,21,1,3,5,4,191346.54,71,2.38,0,2,0,4,4.9,4.6,3,10,7,1,10,1,1,56,0,1
37281,30,2,3,5,10,121844.85,68,1.03,0,3,0,2,8.9,4.0,4,8,26,5,9,6,2,28,2,1
45113,40,2,2,2,27,178031.13,74,1.06,0,2,1,1,7.0,8.9,4,8,21,2,8,3,9,72,2,3
5213,37,0,2,4,22,25880.33,88,2.92,0,2,0,4,8.9,4.0,5,5,24,2,9,1,6,17,2,3
2019,31,1,1,3,35,129918.83,87,1.7,0,0,2,3,6.0,3.1,5,3,26,6,10,1,6,85,1,1
42263,34,1,3,1,28,132405.75,52,0.34,0,0,2,2,4.0,6.4,2,0,5,0,7,3,9,66,1,2
20396,64,2,2,5,10,104255.06,40,1.63,0,3,0,4,5.5,7.4,0,10,30,5,9,0,5,99,2,2
19530,30,1,3,4,36,114610.83,83,2.72,0,3,1,5,7.6,8.6,10,4,29,4,1,8,4,95,2,3
4665,55,2,3,3,18,134506.5,85,1.09,0,3,0,2,4.9,4.3,3,0,25,5,0,9,7,85,1,2
45947,31,2,3,2,11,189367.52,88,0.54,0,3,2,3,4.3,7.1,1,2,23,6,7,0,4,32,0,1
18918,59,0,2,0,27,178776.79,85,2.86,0,2,1,1,5.9,4.5,0,2,17,10,8,5,4,28,2,0
39977,22,0,2,3,32,136104.94,46,2.05,0,0,0,5,5.4,1.2,10,10,0,1,7,6,7,51,1,0
14395,39,2,2,1,33,60123.06,74,1.63,0,3,0,3,8.8,1.6,6,1,29,5,1,10,4,48,0,3
29030,62,0,1,2,14,127760.89,39,1.33,0,1,1,5,7.9,9.0,8,9,21,10,10,10,4,44,2,3
13290,58,1,2,1,14,61252.68,85,1.75,0,2,1,5,6.3,4.8,1,0,24,4,2,4,1,45,1,3
36860,54,0,3,3,6,70719.64,84,0.32,0,0,0,5,6.3,8.5,5,4,18,6,0,3,9,93,0,0
5455,57,0,1,2,14,80839.93,90,1.35,0,3,1,3,4.6,4.4,9,4,19,6,3,8,6,37,1,3
40608,40,1,0,2,9,28063.35,74,0.45,0,1,1,5,6.0,7.9,6,2,1,6,9,0,3,3,0,2
47427,33,1,3,2,40,190397.6,57,2.55,0,0,2,3,7.5,2.6,5,2,18,5,6,10,2,34,2,2
42008,27,1,0,3,24,184425.38,57,2.6,0,1,1,3,7.5,4.6,7,6,7,1,0,10,2,21,1,3
21121,53,1,0,3,15,44639.32,74,1.64,0,3,2,5,7.0,0.7,9,6,5,4,10,7,10,76,0,1
28583,56,0,0,4,19,23096.7,38,2.06,0,0,2,2,6.2,7.5,3,0,28,4,1,6,5,31,2,1
40842,43,1,1,3,40,96887.55,51,2.21,0,1,0,2,4.1,9.6,1,3,18,9,5,3,4,59,1,0
49194,48,2,3,4,17,177198.58,69,1.6,0,3,0,0,5.7,4.7,10,6,10,5,4,8,7,88,2,2
29810,65,2,3,3,8,136993.42,51,2.21,0,2,1,0,8.9,1.3,8,9,30,2,8,7,0,5,1,2
36493,21,2,1,4,27,117169.9,70,2.29,0,1,0,5,5.8,8.3,10,4,22,10,7,5,3,35,1,1
21535,42,1,3,1,40,138643.7,72,1.21,0,2,2,1,4.1,2.4,5,4,21,2,7,2,6,60,0,0
44660,35,1,1,2,5,127543.75,58,2.15,0,2,0,4,8.0,4.4,8,6,16,1,8,3,10,67,1,1
23255,53,1,1,2,4,45047.66,35,1.83,0,0,2,4,8.4,7.5,10,8,9,4,2,3,1,6,1,3
40461,37,0,1,2,12,40928.07,56,1.79,0,0,2,2,4.1,0.3,0,8,21,7,7,9,5,62,1,2
26806,37,0,2,3,7,147588.24,83,2.86,0,2,0,5,6.0,6.3,4,7,11,2,8,5,0,14,2,1
9119,40,1,2,4,40,198178.6,68,1.67,0,3,0,0,4.4,1.5,7,8,25,1,0,10,6,48,0,1
45847,37,1,0,3,18,179858.1,64,2.62,0,3,0,4,4.6,9.7,3,0,6,5,1,7,7,45,1,2
36584,23,1,0,0,0,150652.2,48,2.11,0,1,0,1,8.4,3.8,3,10,21,5,5,10,4,95,1,0
4400,32,0,0,5,30,138846.72,53,0.69,0,3,2,1,6.0,1.2,10,1,23,1,4,4,4,23,0,1
14624,48,2,3,3,17,137776.38,62,1.23,0,1,1,1,7.0,0.6,5,8,1,2,5,5,6,67,2,3
47137,41,2,0,5,11,55197.72,40,2.99,0,1,0,2,6.2,9.9,6,7,16,0,0,7,0,95,1,2
24942,29,2,3,4,1,178731.03,89,0.23,0,3,0,5,8.0,1.4,10,7,26,1,5,10,2,91,2,2
34493,25,0,3,3,20,165895.91,72,2.01,0,3,1,0,8.6,2.9,7,10,28,10,10,3,2,69,0,0
32755,45,2,1,1,35,141615.79,89,1.83,0,0,0,1,5.6,3.2,5,1,14,7,0,6,4,24,2,3
43260,56,1,1,4,16,37369.24,62,1.23,0,0,1,1,8.9,3.0,5,4,20,3,9,6,8,22,0,0
21048,18,1,3,2,34,120932.43,79,1.74,0,2,0,3,5.6,1.9,5,5,0,1,4,7,0,85,2,2
7176,18,1,1,1,5,147300.09,48,0.96,0,3,0,0,4.4,1.1,0,6,27,7,1,0,10,17,1,2
13535,33,0,0,1,2,178855.79,67,2.47,0,1,1,3,4.4,2.3,0,3,10,8,2,6,3,8,2,0
2687,53,1,0,3,34,60529.65,52,2.86,0,1,2,4,5.9,5.1,2,0,10,4,2,0,6,21,0,1
24622,32,2,0,2,24,156872.55,37,1.31,0,3,1,5,7.9,3.3,2,10,11,4,6,9,7,84,2,1
35006,51,1,1,1,13,68320.44,62,0.81,0,1,2,0,7.7,2.6,4,4,30,10,10,9,9,91,2,2
22288,49,2,2,0,9,167410.97,54,1.61,0,3,2,5,4.8,4.7,10,1,29,9,9,0,1,27,0,3
42215,27,2,3,1,3,188896.56,56,1.24,0,3,0,3,6.7,8.1,4,5,29,2,2,4,0,65,1,2
1893,57,1,2,4,26,190813.35,55,0.26,0,3,2,5,8.1,1.4,10,3,22,10,5,7,4,14,0,1
47891,55,1,0,0,16,160590.66,41,0.14,0,0,1,3,8.6,7.8,4,9,11,4,3,6,10,69,0,2
12583,62,1,1,4,20,134662.78,67,0.0,0,2,2,2,5.2,3.3,10,8,23,1,3,4,10,71,2,1
48147,61,0,2,0,2,79837.8,43,2.94,0,1,2,1,8.8,3.9,1,5,30,8,8,4,8,62,2,0
44550,54,1,1,1,14,153764.39,35,2.35,0,2,1,3,4.4,4.3,2,0,20,4,4,0,4,57,0,0
48874,22,1,3,3,18,101086.23,67,0.4,0,2,2,2,8.1,7.5,0,8,19,9,2,6,9,18,1,2
48237,27,2,3,2,28,151496.31,54,2.31,0,0,0,1,6.2,7.3,2,2,25,5,2,5,8,19,0,1
10583,56,2,1,4,29,77778.38,55,1.05,0,3,0,3,7.4,0.5,8,2,3,0,2,5,5,77,2,1
28270,32,2,0,5,19,109218.85,53,0.6,0,0,0,2,6.3,3.6,7,7,1,2,4,1,10,97,1,2
4563,37,1,1,0,39,39652.05,69,0.42,0,3,1,5,6.7,5.4,2,5,24,3,10,9,10,64,0,0
21688,36,2,2,2,18,78641.58,80,0.68,0,1,2,2,6.4,5.8,8,4,5,2,1,5,10,1,1,2
1945,28,0,0,2,33,115064.67,54,0.23,0,1,1,0,4.6,9.3,6,8,2,10,6,10,5,17,2,0
37808,40,2,1,4,16,108527.46,36,0.77,0,2,1,3,6.8,6.3,10,1,3,1,8,8,1,35,0,3
19628,35,2,2,0,18,90522.6,79,1.96,0,2,1,2,8.6,2.0,6,5,8,4,4,0,8,35,2,0
45725,52,1,3,4,33,117864.97,44,0.92,0,1,2,1,7.0,3.6,4,5,10,9,1,4,2,26,0,0
5060,27,0,2,4,29,56839.05,86,1.66,0,3,2,5,8.1,1.6,1,6,11,7,7,3,8,19,0,1
8894,44,2,3,3,26,68749.43,84,2.76,0,2,1,3,7.9,9.3,3,8,6,8,5,4,3,43,0,3
37014,60,1,3,0,32,48752.51,85,1.24,0,1,1,1,8.0,6.9,7,6,20,8,7,8,4,66,2,1
23783,23,0,1,1,36,67281.12,86,1.68,0,2,2,5,6.1,0.1,10,7,4,4,4,10,4,54,2,1
35625,21,2,1,0,1,118046.33,66,0.36,0,0,0,0,6.1,2.1,5,0,8,1,10,10,4,68,0,1
27882,65,1,2,4,35,156924.79,43,2.91,0,0,0,3,5.8,6.4,4,9,28,5,4,8,6,46,2,3
26965,55,0,1,3,28,107356.88,82,2.11,0,0,2,0,8.6,2.3,6,7,14,1,2,8,9,57,1,1
47625,34,2,1,2,34,144308.17,50,2.62,0,1,2,0,5.5,4.4,10,7,11,2,7,8,3,88,2,2
14320,64,2,2,2,4,81814.15,59,0.65,0,1,1,2,4.3,9.3,8,3,8,4,7,8,6,30,1,1
37535,57,1,3,1,2,32919.6,47,0.03,0,2,0,1,5.7,3.5,1,0,2,5,1,4,1,50,0,1
219,43,2,0,3,4,44076.3,51,2.71,0,1,1,2,5.9,2.3,2,5,17,0,7,8,7,9,1,3
2454,55,2,0,2,7,43779.96,56,0.42,0,3,0,5,7.3,8.1,0,2,6,0,1,0,2,44,0,0
