ID,Age,Gender,Marital_Status,Job_Role,Experience_Years,Monthly_Salary_INR,Working_Hours_per_Week,Commute_Time_Hours,Stress_Level,Health_Issues,Company_Size,Department,Sleep_Hours,Physical_Activity_Hours_per_Week,Manager_Support_Level,Work_Pressure_Level,Annual_Leaves_Taken,Work_Life_Balance,Family_Support_Level,Job_Satisfaction,Performance_Rating,Team_Size,Burnout_Symptoms,Location
1,56,2,3,1,5,102703.08,44,1.72,0,2,2,4,5.6,1.9,1,0,15,9,2,5,10,38,0,3
2,46,0,2,0,20,165583.91,54,0.62,7,2,0,3,9.0,3.5,7,10,12,9,1,10,9,72,0,3
3,32,0,2,1,10,38005.39,81,1.22,7,3,1,2,7.9,8.4,2,7,13,6,1,1,1,67,2,0
4,60,0,0,0,26,51127.36,79,2.03,6,1,2,3,4.1,6.4,6,2,15,8,10,5,10,98,2,0
5,25,1,1,4,29,174597.45,63,1.45,8,0,0,5,4.0,9.2,9,10,11,3,1,9,2,85,0,1
6,38,2,2,3,13,37595.9,45,0.48,2,0,0,2,5.7,9.5,5,8,30,6,0,7,2,22,0,2
7,56,2,2,2,17,46786.46,44,0.23,4,1,1,4,8.2,9.4,10,3,16,9,4,2,10,39,2,3
8,36,0,0,4,5,49639.66,46,2.3,6,1,2,0,8.5,1.5,1,8,4,4,2,5,4,44,1,3
9,40,2,0,3,40,156978.32,66,0.3,1,3,2,1,8.2,9.6,3,7,13,6,5,5,1,46,2,3
10,28,1,0,5,31,85163.2,56,1.91,9,3,1,0,5.2,7.6,10,9,2,10,9,0,9,48,2,3
11,28,0,3,4,32,117789.06,75,0.82,3,2,2,3,4.6,6.0,8,1,2,6,6,2,7,3,2,2
12,41,1,0,3,11,72373.38,67,0.07,9,1,0,0,6.0,2.8,7,9,13,8,3,9,2,1,2,3
13,53,0,0,0,3,130305.44,37,0.13,9,0,2,4,8.0,7.2,8,6,1,9,1,7,4,92,2,3
14,57,0,1,2,35,71621.93,68,2.57,0,2,0,4,8.7,9.8,8,4,7,8,4,0,10,60,2,3
15,41,0,3,5,10,196157.07,52,2.59,8,1,1,2,5.8,9.3,1,7,11,9,2,1,7,93,0,1
16,20,1,3,0,35,154602.95,63,2.33,10,3,1,0,7.0,4.7,4,8,4,2,0,1,7,25,1,0
17,39,2,2,2,14,173926.86,62,2.69,9,2,0,1,4.4,0.3,4,4,29,4,3,1,9,69,2,0
18,19,2,1,3,23,83436.04,60,1.78,6,0,2,0,9.0,0.9,4,3,6,5,7,8,7,87,0,2
19,41,2,0,5,32,51978.12,88,1.29,10,3,2,3,4.6,6.8,9,7,29,2,4,5,5,49,2,3
20,61,2,3,1,27,93569.73,43,2.06,6,0,0,1,6.5,9.0,8,3,0,8,4,3,3,81,1,3
21,47,1,2,1,39,90909.36,78,1.87,2,2,1,2,5.6,9.6,1,1,22,7,5,7,5,30,0,3
22,55,2,1,1,3,194433.13,36,2.93,0,0,2,2,4.4,1.1,2,7,18,2,3,10,2,92,1,2
23,19,2,0,5,11,33821.79,65,0.17,0,1,2,0,5.1,2.0,4,8,18,10,9,2,3,96,1,2
24,38,0,1,5,15,193129.33,67,0.39,9,1,0,5,4.4,7.1,5,9,25,3,8,5,0,10,1,0
25,50,1,1,1,11,173803.77,74,0.28,1,3,2,4,4.9,1.9,0,5,27,7,9,4,6,96,1,2
26,29,0,0,5,20,39994.38,89,1.56,0,2,2,5,6.7,9.6,5,10,8,4,8,8,6,29,2,2
27,39,2,2,4,25,164005.11,50,0.18,4,0,2,3,7.9,8.6,5,10,7,1,1,3,10,34,1,3
28,61,0,0,4,8,188706.1,66,2.97,4,3,0,5,5.8,9.5,9,0,14,6,1,9,7,60,0,2
29,42,2,3,1,19,77534.03,41,1.51,6,0,0,4,7.7,8.2,2,5,7,6,8,1,10,25,2,3
30,44,0,0,5,20,94169.5,35,0.99,5,1,2,0,8.7,2.6,0,1,29,1,0,4,10,27,0,0
31,59,1,1,0,4,93694.29,77,1.11,0,3,1,5,4.1,9.4,3,0,25,6,3,1,0,71,1,3
32,45,0,2,3,10,158762.76,51,2.6,1,0,2,1,7.2,4.5,8,3,1,1,2,5,6,70,1,0
33,33,0,0,1,4,78689.46,45,0.55,9,1,2,1,7.1,6.9,3,2,6,1,0,3,7,42,1,0
34,32,0,3,0,15,110521.58,50,0.21,1,3,2,3,8.3,5.0,8,0,3,9,8,5,5,64,2,0
35,64,0,2,0,11,63568.74,83,2.95,4,3,1,1,5.0,6.0,1,4,4,0,5,4,7,13,0,1
36,61,2,1,0,36,186416.05,85,2.63,4,3,2,4,8.2,4.7,4,0,9,0,5,0,6,21,1,0
37,20,0,0,4,33,184038.88,85,2.27,4,3,0,2,8.2,8.3,7,1,14,6,2,3,10,25,0,3
38,54,1,2,2,21,112296.4,44,1.66,9,3,2,1,7.7,6.5,0,7,2,9,6,9,6,21,0,2
39,24,0,2,5,14,179923.27,63,2.16,3,3,2,4,6.5,7.2,9,5,24,1,1,0,4,26,0,3
40,38,1,1,4,31,120039.95,89,0.19,10,2,2,0,4.8,5.2,1,3,28,9,2,5,0,6,2,3
41,26,0,2,1,32,68123.28,43,1.59,4,0,0,5,6.5,7.5,5,9,25,1,7,10,6,24,2,3
42,56,2,2,5,34,92087.39,46,2.44,0,0,1,4,4.9,4.4,9,0,6,0,7,1,9,1,2,1
43,35,1,3,1,3,138039.35,59,2.3,1,0,0,5,7.2,7.7,1,8,2,9,9,8,6,60,0,1
44,21,1,2,1,15,183203.79,90,1.43,5,0,0,2,8.4,8.5,3,8,11,1,7,6,4,25,2,3
45,42,0,0,3,9,24521.93,73,0.53,1,1,1,2,5.9,8.6,10,0,2,5,1,3,8,32,0,0
46,31,2,3,3,32,50728.33,43,1.22,1,1,1,0,6.9,9.6,6,8,15,7,3,8,2,42,1,3
47,26,2,3,2,11,180196.68,79,2.86,7,0,2,4,5.0,1.0,0,3,26,3,10,10,9,6,2,1
48,43,1,0,4,14,56680.85,38,2.48,5,3,1,1,7.8,0.5,8,1,12,3,1,7,8,45,2,1
49,19,0,3,0,30,194064.71,74,1.4,0,2,0,3,8.6,2.5,9,0,24,1,2,3,0,22,1,1
50,37,2,1,5,34,52350.58,41,0.9,4,2,1,4,6.5,7.0,7,7,6,8,4,4,9,76,0,0
51,45,2,1,4,22,187554.37,71,2.09,4,0,1,3,5.2,6.2,1,7,28,4,1,5,10,71,2,3
52,64,2,0,1,31,79235.73,72,0.82,6,0,2,0,5.9,0.2,3,6,20,1,10,7,4,39,2,3
53,24,0,2,2,24,195534.18,77,1.29,6,3,0,2,5.0,10.0,3,5,12,6,2,2,8,56,2,1
54,61,0,3,3,4,187021.32,67,0.66,4,1,2,4,5.5,5.0,8,9,12,7,1,1,3,15,2,1
55,25,1,0,5,40,161690.38,83,1.54,5,2,1,5,4.7,7.4,2,10,13,2,4,4,5,22,0,3
